Number of points: 232050
SW:(40.700000 , -74.000000) 
Partition   69000000 : [   0,     1]
Partition   79000000 : [   1,    31]
Partition   89000000 : [   2,   274]
Partition   48000000 : [   2,  2899]
Partition  208000000 : [   0,     1]
Partition  198000000 : [   0,     4]
Partition  159000000 : [   3,    71]
Partition  119000000 : [   4,   212]
Partition  168000000 : [   4,   103]
Partition  178000000 : [   3,   131]
Partition   36000000 : [   2,  1587]
Partition   55000000 : [   3,   989]
Partition   52000000 : [   1,  3714]
Partition  179000000 : [   2,    59]
Partition  189000000 : [   3,    75]
Partition  199000000 : [   2,    50]
Partition  209000000 : [   0,     5]
Partition   99000000 : [   5,   973]
Partition  129000000 : [   3,   186]
Partition  188000000 : [   1,    66]
Partition   53000000 : [   1,  2981]
Partition   70000000 : [   1,  5278]
Partition    4000000 : [   3,  1966]
Partition   65000000 : [   2,  2169]
Partition  148000000 : [   3,   630]
Partition   77000000 : [   1,  1828]
Partition  125000000 : [   1,  2363]
Partition   66000000 : [   1,  2477]
Partition   62000000 : [   1,  4512]
Partition  115000000 : [   2,  1721]
Partition   63000000 : [   1,  3664]
Partition   82000000 : [   1,  5407]
Partition   92000000 : [   1,  5836]

Execution time: 1.9857874s of 255300 points
Number of CPUs: 8
