Number of points: 232050
NW:(40.700000 , -74.000000)
Partition  175000000 : [   3,   521]
Partition  111000000 : [   3,   700]
Partition   30000000 : [   4,   542]
Partition  168000000 : [   2,   492]
Partition  189000000 : [   5,   777]
Partition  142000000 : [   4,   512]
Partition   42000000 : [   7,   649]
Partition  164000000 : [   2,   426]
Partition  188000000 : [   3,   865]
Partition   32000000 : [   3,   388]
Partition  143000000 : [   5,   841]
Partition  133000000 : [   3,   435]
Partition  179000000 : [   1,   564]
Partition  154000000 : [   3,   989]
Partition  121000000 : [   6,   741]
Partition   90000000 : [   4,   856]
Partition  132000000 : [   2,   809]
Partition   44000000 : [   3,   639]
Partition  100000000 : [   7,   763]
Partition  193000000 : [   3,   630]
Partition  174000000 : [   3,  1036]
Partition  137000000 : [   2,   611]
Partition   98000000 : [   4,   860]
Partition  122000000 : [   4,   928]
Partition  175000000 : [   4,   700]
Partition   54000000 : [   3,   959]
Partition  164000000 : [   3,  1170]
Partition  177000000 : [   3,  1084]
Partition   53000000 : [   3,   958]
Partition  198000000 : [   4,   973]
Partition  153000000 : [   1,   759]
Partition  149000000 : [   3,  1033]
Partition  155000000 : [   3,   778]
Partition   76000000 : [   6,   961]
Partition  136000000 : [   1,   934]
Partition  133000000 : [   3,  1352]
Partition   65000000 : [   6,  1104]
Partition   41000000 : [   7,  1139]
Partition  109000000 : [   2,   956]
Partition  167000000 : [   2,  1007]
Partition   86000000 : [   4,  1461]
Partition  165000000 : [   5,  1102]
Partition   43000000 : [   1,   945]
Partition   52000000 : [   6,  1405]
Partition  166000000 : [   2,  1194]
Partition   80000000 : [   4,  1474]
Partition  156000000 : [   4,  1152]
Partition   70000000 : [   9,  1532]
Partition   64000000 : [   2,  1160]
Partition   50000000 : [   2,  1327]
Partition  187000000 : [   4,  1473]
Partition   61000000 : [   3,  1308]
Partition   60000000 : [   5,  1269]
Partition  178000000 : [   2,  1070]
Partition  154000000 : [   2,  1159]
Partition  173000000 : [   2,  1632]
Partition  182000000 : [   2,  1036]
Partition  131000000 : [   5,  1627]
Partition  132000000 : [   3,  1165]
Partition   87000000 : [   4,  1346]
Partition   63000000 : [   4,  1587]
Partition   75000000 : [   3,  1229]
Partition  183000000 : [   2,  1343]
Partition  144000000 : [   3,  1532]
Partition  120000000 : [   3,  1497]
Partition   74000000 : [   3,  1632]
Partition  163000000 : [   3,  1652]
Partition  171000000 : [   1,  1474]
Partition  138000000 : [   1,  1515]
Partition  153000000 : [   2,  1603]
Partition   97000000 : [   6,  1890]
Partition  152000000 : [   4,  1832]
Partition  160000000 : [   2,  1721]
Partition   85000000 : [   5,  1762]
Partition   51000000 : [   2,  1746]
Partition  176000000 : [   1,  1828]
Partition  141000000 : [   3,  1902]
Partition  130000000 : [   2,  1778]
Partition  143000000 : [   2,  1875]
Partition  123000000 : [   2,  1804]
Partition  104000000 : [   1,  1834]
Partition  140000000 : [   3,  2054]
